id,name,name_cn,连载结束
94436,乱視の国のアリス,乱视之国的爱丽丝,"2013-12-21 (VOL.105 2014年1月号)"
95083,龍ヶ嬢七々々の埋蔵金,龙娘七七七埋藏的宝藏,"2013-04-12"
95167,新・天地無用! 魎皇鬼,,"2006年1月号"
95466,悪性 -アクサガ-,恶性,"2006-01-26(2006年3月号)"
95962,Doubt!,,"2014年3月号"
96469,相沢さん増殖,增殖女友相澤,2017-02-02
96514,Death/こみゅにけーしょん,圣杯女学园,"2009年"
96539,キミノネイロ,你的音色,"2011-11-02(2011年12月号)"
96549,1年5組いきものがかり,1年5组生物小队,"2012-12-28(2013年2月号)"
96557,オレンジ・プラネット,香橙行星,"2007-11-02(2007年12月号)"
96566,AAA,,"2009年4月号"
96584,チェリージュース,樱桃果汁,"2006年1月号"
96589,ちよこれいと,初恋巧克力,"2010-04-30(2010年6月号)"
96593,けだものだもの,热夏野男孩,"2007年"
96827,高床式少女,高床式少女,"2017-06-12(2017年13号)"
97127,革命機ヴァルヴレイヴ 裏切りの烙印,革命机VALVRAVE 背叛的烙印,"2014-01-22(2014年3月号)"
97254,つきツキ!,月神来我家,"2016年5月(2016年7月号)"
97442,ハンドレッド,百武装战记,"2015年1月号"
97991,機動戦士ガンダム FAR EAST JAPAN,机动战士高达：远东日本,"2014年3月号"
98017,一輝まんだら,一辉曼荼罗,"1975年4月12日号"
98264,超級!機動武闘伝Gガンダム,超级！机动武斗传G高达,2016年10月号
98340,姫さま狸の恋算用,狸公主的恋爱计算,"2016-12-06(2016 No.24)"
98911,ミカグラ学園組曲,御神乐学园组曲,"2016-02-15(2016年3月号)"
99218,グラン・ローヴァ物語,银晶球物语,"1993年"
99661,わがままちえちゃん,任性的千惠,"2015-02-12 (2015年3月号)"
99862,武神,武神,"2003-07-15"
100219,おれと一乃のゲーム同好会活動日誌,我与一乃的游戏同好会活动日志,"2012-12-27(2013年2月号)"
101285,花街鬼,花街鬼,"2014-06-10(2014年7月号増刊)"
101336,菫画報,堇画报,"1999年5月号"
101345,二十面相の娘,二十面相少女,"2007-01-05(2007年2月号)"
101402,鬼灯さん家のアネキ(＋妹),鬼灯家的大姐姐(+妹),"2018-03-02(4月号)"
101527,エンジェル・ハート 2ndシーズン,天使心2nd Season,"2017年7月号"
102195,私たちには壁がある。,你我之间一墙之隔。,"2017-02-24(2017年4月号)"
102513,艦これプレイ漫画 艦々日和,舰队收藏游戏经历漫画：舰舰日和,"2018-09-14"
102516,艦隊これくしょん -艦これ- いつか静かな海で,舰队收藏 -舰Colle- 在终将平静的海面上,"2016-06-26(2016年8月号)"
103527,俺の脳内選択肢が、学園ラブコメを全力で邪魔しているH,我的脑内选项正全力干扰着这出校园恋爱喜剧H,"2014-04-10(2014年5月号)"
103534,STEINS;GATE 星屑のデュプレット,命运石之门 星尘的二连音,"2012-02-24"
103542,僕はお姫様になれない,我无法成为公主,"2016-06-27"
103560,STEINS;GATE 閉時曲線のエピグラフ,命运石之门 闭时曲线的碑文,"2013-12-27"
103717,ぼっち日和。。,酷娇少女日和,"2012-04-27(2012年6月号)"
103747,マージナル・オペレーション,边缘行动,2021-01-25(2021年3月号)
103870,目玉焼きの黄身 いつつぶす?,何时搅了荷包蛋的黄？,"2019年5月号"
104431,魔街の坂,,"2014-02-15(volume11/ハルタ)"
104514,恋と選挙とチョコレート,恋爱与选举与巧克力,"2014年4月号"
104649,七福マフィア,七福黑手党,"2014-11-22(2015年1月号)"
104801,hshsさせろ!!,能让我兴奋的味道是幼女味,"2016-05-27 (VOL.33/2016年07月号)"
104883,BATMAN CHILD OF DREAMS,,2001年7月号(2001-05-26)
104986,この島には淫らで邪悪なモノが棲む,这个小岛上栖息着荒邪之物,"2018-03-27(2018年5月号)"
105242,甘城ブリリアントパーク,甘城光辉游乐园,"2016-09-09(2016年10月号)"
105390,うちの陛下が新米で。,我家的陛下是新手哟。,"2015-06-24(2015年8月号)"
105446,ポメロメコ,,"2015年1月号"
105532,Tintin au Tibet,丁丁在西藏,"1959-11-25"
105554,狼陛下の花嫁,狼陛下的花嫁,"2018-07-24(2018年9月号)"
105713,Tintin au Pays des Soviets,丁丁在苏联,"1930-05-11"
105714,Tintin au Congo,丁丁在刚果,"1931-06-11"
105715,Tintin en Amérique,丁丁在美洲,"1932-10-20"
105717,Les Cigares du pharaon,法老的雪茄,"1934-02-08"
105718,Le Lotus bleu,蓝莲花,"1935-10-17"
105719,L'Oreille cassée,破损的耳朵,"1937-02-25"
105720,L'Île Noire,黑岛,"1938-06-16"
105721,Le Sceptre d'Ottokar,奥托卡王的权杖,"1939-08-10"
105722,Le Crabe aux pinces d'or,金钳螃蟹贩毒集团,"1941-10-18"
105723,L'Étoile mystérieuse,神秘的流星,"1942-05-21"
105724,Le Secret de la Licorne,独角兽号的秘密,"1943-01-14"
105725,Le Trésor de Rackham le Rouge,红色拉克姆的宝藏,"1943-09-23"
105727,Le Temple du Soleil,太阳神的囚徒,"1948-04-22"
105730,On a marché sur la Lune,月球探险,"1953-12-29"
105731,L'Affaire Tournesol,向日葵教授绑架案,"1956-02-22"
105732,Coke en stock,货舱里的黑幕,"1958-01-01"
105733,Les Bijoux de la Castafiore,绿宝石失窃案,"1962-09-04"
105734,Vol 714 pour Sydney,714航班,"1967-11-28"
105735,Tintin et les Picaros,丁丁与丛林战士,"1976-04-13"
105790,ベルゼブブのメイド,魔王撒旦的女仆,"2014-09-05"
106002,架刑のアリス,架刑的爱丽丝,"2018-09-15(2018年10月号)"
